raw_finding_id,scenario_id,family_id,context_variant,check_id,resource,file_path,severity_raw,check_name
2722e2ad16c6cf3b,CTX-07-B,CTX-07,context_b,CKV_AWS_157,aws_db_instance.target,/CTX-07/context_b/main.tf,,Ensure that RDS instances have Multi-AZ enabled
0d9179e53dc48556,CTX-07-B,CTX-07,context_b,CKV_AWS_161,aws_db_instance.target,/CTX-07/context_b/main.tf,,Ensure RDS database has IAM authentication enabled
bcb49ed5bb34d11b,CTX-08-A,CTX-08,context_a,CKV_AWS_353,aws_db_instance.target,/CTX-08/context_a/main.tf,,Ensure that RDS instances have performance insights enabled
13bca73c42216c3d,CTX-08-A,CTX-08,context_a,CKV_AWS_226,aws_db_instance.target,/CTX-08/context_a/main.tf,,Ensure DB instance gets all minor upgrades automatically
0af0b8fd066516c1,CTX-08-A,CTX-08,context_a,CKV_AWS_129,aws_db_instance.target,/CTX-08/context_a/main.tf,,Ensure that respective logs of Amazon Relational Database Service (Amazon RDS) are enabled
09a1a8c97e97fc77,CTX-08-A,CTX-08,context_a,CKV_AWS_293,aws_db_instance.target,/CTX-08/context_a/main.tf,,Ensure that AWS database instances have deletion protection enabled
a3b444826817ca61,CTX-08-A,CTX-08,context_a,CKV_AWS_16,aws_db_instance.target,/CTX-08/context_a/main.tf,,Ensure all data stored in the RDS is securely encrypted at rest
8f5392eaeb060d92,CTX-08-A,CTX-08,context_a,CKV_AWS_118,aws_db_instance.target,/CTX-08/context_a/main.tf,,Ensure that enhanced monitoring is enabled for Amazon RDS instances
db95d2aff6d5538d,CTX-08-A,CTX-08,context_a,CKV_AWS_157,aws_db_instance.target,/CTX-08/context_a/main.tf,,Ensure that RDS instances have Multi-AZ enabled
0307b9b90a844867,CTX-08-A,CTX-08,context_a,CKV_AWS_161,aws_db_instance.target,/CTX-08/context_a/main.tf,,Ensure RDS database has IAM authentication enabled
0ab74653b7f394a6,CTX-08-B,CTX-08,context_b,CKV_AWS_353,aws_db_instance.target,/CTX-08/context_b/main.tf,,Ensure that RDS instances have performance insights enabled
d0060db89bd10a0d,CTX-08-B,CTX-08,context_b,CKV_AWS_226,aws_db_instance.target,/CTX-08/context_b/main.tf,,Ensure DB instance gets all minor upgrades automatically
335f44891454d1e0,CTX-08-B,CTX-08,context_b,CKV_AWS_129,aws_db_instance.target,/CTX-08/context_b/main.tf,,Ensure that respective logs of Amazon Relational Database Service (Amazon RDS) are enabled
59b28c03839adf7b,CTX-08-B,CTX-08,context_b,CKV_AWS_293,aws_db_instance.target,/CTX-08/context_b/main.tf,,Ensure that AWS database instances have deletion protection enabled
b632fc22a9d8254b,CTX-08-B,CTX-08,context_b,CKV_AWS_16,aws_db_instance.target,/CTX-08/context_b/main.tf,,Ensure all data stored in the RDS is securely encrypted at rest
094a8731e8e95c79,CTX-08-B,CTX-08,context_b,CKV_AWS_118,aws_db_instance.target,/CTX-08/context_b/main.tf,,Ensure that enhanced monitoring is enabled for Amazon RDS instances
